id,name,type,description,rarity,height,width,price
1,白色染料,natural;decoration,,gray,2,2,1176
2,爆裂紫颂果,decoration,,green,2,2,4410
3,橙色染料,natural;decoration,,gray,2,2,1164
4,粗金,ore,,blue,1,1,8586
5,粗铁,ore,,green,1,1,3200
6,粗铜,ore,,green,1,1,2977
7,淡灰色染料,natural;decoration,,gray,2,2,1272
8,淡蓝色染料,natural;decoration,,gray,2,2,1152
9,粉红色染料,natural;decoration,,gray,2,2,1140
10,附魔之瓶,magic,,purple,2,2,83790
11,骨粉,decoration,,gray,1,1,2226
12,骨头,loot,,blue,2,2,20736
13,海龟鳞甲,loot,,blue,2,2,22680
14,海晶砂粒,ore,,green,1,1,2892
15,海晶碎片,decoration,,gray,1,1,2600
16,海洋之心,loot,,blue,2,2,21820
17,黑色染料,natural;decoration,,gray,2,2,1200
18,红色染料,natural;decoration,,gray,2,2,1236
19,红砖,decoration,,green,2,2,4200
20,黄绿色染料,natural;decoration,,gray,2,2,1176
21,黄色染料,natural;decoration,,gray,2,2,1200
22,灰色染料,natural;decoration,,gray,2,2,1152
23,回响碎片,magic;decoration,,purple,1,1,42294
24,火药,loot,,blue,2,2,20304
25,鸡蛋,decoration,,green,2,2,4116
26,金锭,ore,,green,1,1,7695
27,金粒,ore,,green,1,1,2863
28,盔甲纹饰锻造模板,decoration;loot,,purple,1,1,38934
29,蓝色鸡蛋,decoration,,green,2,2,4200
30,蓝色染料,natural;decoration,,gray,2,2,1188
31,烈焰棒,magic;loot,,purple,5,1,55910
32,绿宝石,ore,,purple,1,1,26649
33,绿色染料,natural;decoration,,gray,2,2,1260
34,煤炭,ore,,green,1,1,2948
35,蜜脾,decoration,,green,2,2,4326
36,末影珍珠,magic;loot,,gold,3,5,582898
37,末影之眼,magic,,purple,2,2,83790
38,墨囊,decoration,,green,2,2,4452
39,木棍,decoration,,gray,2,2,1152
40,木炭,ore;decoration,,green,1,1,2750
41,黏土球,decoration,,green,2,2,4200
42,黏液球,loot,,blue,2,2,20304
43,皮革,loot,,blue,1,1,11124
44,品红色染料,natural;decoration,,gray,2,2,1236
45,旗帜图案,decoration,,green,3,2,5041
46,潜影壳,loot,,blue,2,2,20304
47,青金石,ore,,blue,1,1,8019
48,青色染料,natural;decoration,,gray,2,2,1260
49,犰狳鳞甲,loot,,blue,2,2,20304
50,树脂团,decoration,,green,2,2,4326
51,树脂砖,decoration,,green,2,2,4242
52,陶片,loot,,blue,2,2,21168
53,铜锭,ore,,green,1,1,2665
54,铜粒,ore,,green,1,1,2835
55,下界合金锭,ore,,red,1,1,245430
56,下界合金升级锻造模板,decoration;loot,,red,4,3,1167264
57,下界合金碎片,ore,,red,1,1,238140
58,下界砖,decoration,,blue,2,2,12000
59,旋风棒,decoration,,green,2,2,4368
60,荧光墨囊,decoration,,green,2,2,4074
61,紫色染料,natural;decoration,,gray,2,2,1260
62,紫水晶碎片,ore,,green,1,1,2920
63,棕色鸡蛋,decoration,,green,2,2,4200
64,棕色染料,natural;decoration,,gray,2,2,1188
65,鞍,tool;loot,,purple,2,2,144935
66,船,tool,,green,2,3,16950
67,打火石,tool,,green,2,2,4988
68,地图,tool,,green,2,2,4935
69,钓鱼竿,tool,,green,2,2,5198
70,附魔书,book;magic;tool,,gold,5,3,612638
71,鲑鱼桶,tool;food,,green,2,2,5460
72,诡异菌钓竿,natural;tool,,green,3,2,6623
73,河豚桶,tool,,green,2,2,5250
74,胡萝卜钓竿,food;tool,,green,3,2,6816
75,火焰弹,tool,,green,2,2,5513
76,剪刀,tool,,green,2,2,5408
77,金锄,tool,,blue,1,3,17777
78,金斧,tool,,blue,3,2,17820
79,金镐,tool,,blue,3,2,19106
80,金锹,tool,,blue,3,1,14100
81,蝌蚪桶,tool,,green,2,2,5093
82,空地图,tool,,green,2,2,5513
83,美西螈桶,tool,,green,2,2,5250
84,命名牌,loot;tool,,purple,2,2,150791
85,木锄,tool,,green,1,3,5513
86,木斧,tool,,green,3,2,6173
87,木镐,tool,,green,3,2,6623
88,木锹,tool,,green,3,1,5565
89,染色收纳袋,tool,,green,2,2,5093
90,热带鱼桶,tool;food,,green,2,2,5198
91,熔岩桶,tool,,green,1,3,5198
92,石锄,tool,,green,1,3,5928
93,石斧,tool,,green,3,2,6751
94,石镐,tool,,green,3,2,6366
95,石锹,tool,,green,3,1,5355
96,时钟,tool,,green,2,2,5303
97,收纳袋,tool,,green,2,2,5565
98,书与笔,book;tool,,green,2,2,5355
99,刷子,tool,,green,2,2,5040
100,拴绳,tool,,green,2,2,5303
101,水桶,tool,,green,2,2,5513
102,探险家地图,tool,,green,2,2,5565
103,铁锄,tool,,green,1,4,13720
104,铁斧,tool,,green,3,2,12720
105,铁镐,tool,,green,3,2,12720
106,铁锹,tool,,green,3,1,12470
107,铜锄,tool,,green,1,4,6163
