id,name,description,level,price,image
prop_1,陨石罗盘,显示一件随机战利品,2,10000,/resource/props/prop_1.png
prop_2,旅行笔记,随机显示4件战利品的品质,3,30000,/resource/props/prop_2.png
prop_3,硬质望远镜,随机显示5件战利品的轮廓,3,20000,/resource/props/prop_3.png
prop_4,强化望远镜,随机显示7件战利品的轮廓,4,30000,/resource/props/prop_4.png
prop_5,信素望远镜,随机显示9件战利品的轮廓,5,50000,/resource/props/prop_5.png
prop_6,谐振望远镜,随机显示11件战利品的轮廓,6,70000,/resource/props/prop_6.png
prop_7,自然模块,随机显示2件自然类战利品的轮廓和品质,3,30000,/resource/props/prop_7.png
prop_8,宝石模块,随机显示2件矿物类战利品的轮廓和品质,3,30000,/resource/props/prop_8.png
prop_9,信号检测仪,随机显示2件科技类战利品的轮廓和品质,3,30000,/resource/props/prop_9.png
prop_11,迷你挖掘机,显示所有多方块类战利品的轮廓,5,80000,/resource/props/prop_11.png
prop_10,魔法球,随机显示2件魔法类战利品的轮廓和品质,3,30000,/resource/props/prop_10.png
prop_12,高级笔记,随机显示5件战利品的品质,4,40000,/resource/props/prop_12.png
prop_13,学徒笔记,随机显示3件战利品的品质,2,20000,/resource/props/prop_13.png
prop_14,古代笔记,随机显示6件战利品的品质,5,50000,/resource/props/prop_14.png
prop_15,传说笔记,随机显示7件战利品的品质,6,60000,/resource/props/prop_15.png
prop_16,藏宝图,显示完全未知的战利品中价值最高的战利品,6,100000,/resource/props/prop_16.png
prop_17,望远镜,随机显示1件战利品的轮廓,1,5000,/resource/props/prop_17.png
prop_18,白色透镜I,随机显示5件白色稀有度战利品的轮廓,1,10000,/resource/props/prop_18.png
prop_19,白色透镜II,显示全部白色稀有度战利品的轮廓,2,20000,/resource/props/prop_19.png
prop_20,绿色透镜I,随机显示5件绿色稀有度战利品的轮廓(不足则向下顺延),2,20000,/resource/props/prop_20.png
prop_21,绿色透镜II,显示全部绿色稀有度战利品的轮廓(没有则向下顺延),3,30000,/resource/props/prop_21.png
prop_22,蓝色透镜I,随机显示4件蓝色稀有度战利品的轮廓(不足则向下顺延),3,30000,/resource/props/prop_22.png
prop_23,蓝色透镜II,显示全部蓝色稀有度战利品的轮廓(没有则向下顺延),4,40000,/resource/props/prop_23.png
prop_24,紫色透镜I,随机显示4件紫色稀有度战利品的轮廓(不足则向下顺延),4,40000,/resource/props/prop_24.png
prop_25,紫色透镜II,显示全部紫色稀有度战利品的轮廓(没有则向下顺延),5,50000,/resource/props/prop_25.png
prop_26,金色透镜I,随机显示2件金色稀有度战利品的轮廓(不足则向下顺延),5,80000,/resource/props/prop_26.png
prop_27,金色透镜II,显示全部金色稀有度战利品的轮廓(没有则向下顺延),6,120000,/resource/props/prop_27.png
prop_28,红色透镜I,随机显示1件红色稀有度战利品的轮廓(不足则向下顺延),6,105000,/resource/props/prop_28.png
prop_29,红色透镜II,显示全部红色稀有度战利品的轮廓(没有则向下顺延),6,150000,/resource/props/prop_29.png
prop_30,七彩透镜,显示全部战利品的稀有度和轮廓,6,500000,/resource/props/prop_30.png
prop_31,电子扫描仪,显示全部物品,6,1000000,/resource/props/prop_31.png
